FID,Id,gridcode,Shape__Area,Shape__Length,SHAPE
29,29,-1,145046096073.77344,1748249.21300821,"{'rings': [[[-2671667.77899407, 10750786.5345378], [-2894306.76063623, 10750786.5345378], [-2894306.76063623, 11402272.1593998], [-2671667.77899407, 11402272.1593998], [-2671667.77899407, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
30,30,0,3394713047020.045,11585498.341324648,"{'rings': [[[-2003750.83426779, 10750786.5345378], [-2671667.77899407, 10750786.5345378], [-2671667.77899407, 11402272.1593998], [-2323376.51458361, 11706963.7070429], [-570930.2460415, 14437986.1938797], [-222638.981631038, 14927396.2516027], [-222638.981631038, 12932243.112164], [-667916.944715144, 12932243.112164], [-667916.944715144, 12123477.9168537], [-890555.926357307, 12123477.9168537], [-1335833.88954152, 12123477.9168537], [-1335833.88954152, 11402272.1593998], [-2003750.83426779, 11402272.1593998], [-2003750.83426779, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
31,31,1,435138288090.8711,2638805.1391764227,"{'rings': [[[-1335833.88954152, 10750786.5345378], [-2003750.83426779, 10750786.5345378], [-2003750.83426779, 11402272.1593998], [-1335833.88954152, 11402272.1593998], [-1335833.88954152, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
32,32,2,290092192082.32227,2193527.176092322,"{'rings': [[[-890555.926357307, 10750786.5345378], [-1335833.88954152, 10750786.5345378], [-1335833.88954152, 11402272.1593998], [-890555.926357307, 11402272.1593998], [-890555.926357307, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
33,33,3,145046096073.77148,1748249.2130082091,"{'rings': [[[-667916.944715144, 10750786.5345378], [-890555.926357307, 10750786.5345378], [-890555.926357307, 11402272.1593998], [-667916.944715144, 11402272.1593998], [-667916.944715144, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
34,34,4,145046096008.55273,1748249.212807998,"{'rings': [[[-445277.963173088, 10750786.5345378], [-667916.944715144, 10750786.5345378], [-667916.944715144, 11402272.1593998], [-445277.963173088, 11402272.1593998], [-445277.963173088, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
35,35,5,145046096008.54883,1748249.2128079855,"{'rings': [[[-222638.981631038, 10750786.5345378], [-445277.963173088, 10750786.5345378], [-445277.963173088, 11402272.1593998], [-222638.981631038, 11402272.1593998], [-222638.981631038, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
36,36,5,145046096008.54932,1748249.2128079855,"{'rings': [[[222638.981553181, 10750786.5345378], [1.11305657984171e-05, 10750786.5345378], [1.11305657984171e-05, 11402272.1593998], [222638.981553181, 11402272.1593998], [222638.981553181, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
37,37,6,580184384164.6467,3084083.102460759,"{'rings': [[[222638.981553181, 10750786.5345378], [222638.981553181, 11402272.1593998], [445277.963195349, 11402272.1593998], [1113194.90792162, 11402272.1593998], [1113194.90792162, 10750786.5345378], [222638.981553181, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
38,38,6,145046096073.77734,1748249.2130082212,"{'rings': [[[1781111.85264789, 10750786.5345378], [1781111.85264789, 11402272.1593998], [2003750.83429005, 11402272.1593998], [2003750.83429005, 10750786.5345378], [1781111.85264789, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
39,39,5,1519677764436.4883,5607147.650275101,"{'rings': [[[3562223.70538476, 10750786.5345378], [3026011.15757291, 11128581.7181878], [2003750.83429005, 11402272.1593998], [1781111.85264789, 11402272.1593998], [1781111.85264789, 12123477.9168537], [2003750.83429005, 12123477.9168537], [3339584.7238427, 12123477.9168537], [3562223.70538476, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
40,40,4,916843834128.5039,4117092.415506067,"{'rings': [[[4230140.65011103, 10750786.5345378], [3562223.70538476, 10750786.5345378], [3339584.7238427, 12123477.9168537], [3784862.68692681, 12123477.9168537], [4007501.66856898, 12123477.9168537], [4230140.65011103, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
41,41,3,572075271768.1758,3466391.983966666,"{'rings': [[[4452779.6317532, 10750786.5345378], [4230140.65011103, 10750786.5345378], [4007501.66856898, 12123477.9168537], [4775174.0310604, 11640091.5331524], [4452779.6317532, 10750786.5345378]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}"
